,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value(£),Wage(£),Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height(cm.),Weight(lbs.),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause(£),DefensiveAwareness,Year_Joined
0,176580,L. Suárez,32,https://cdn.sofifa.com/players/176/580/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,89,89,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,53000000.0,350000.0,2327,Right,5.0,4.0,3.0,High/ Medium,Normal (170-185),Yes,ST,9.0,2014-07-11,None,2021.0,182.88,190,80.0,91.0,83.0,82.0,90.0,85.0,86.0,82.0,77.0,84.0,76.0,70.0,79.0,92.0,79.0,88.0,69.0,82.0,86.0,86.0,87.0,41.0,92.0,84.0,83.0,85.0,None,45.0,38.0,27.0,25.0,31.0,33.0,37.0,ST,89.0,108700000.0,57.0,2014
1,194765,A. Griezmann,28,https://cdn.sofifa.com/players/194/765/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,89,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,69000000.0,370000.0,2299,Left,4.0,3.0,4.0,High/ High,Normal (170-185),Yes,LW,17.0,2019-07-12,None,2024.0,175.26,161,83.0,89.0,84.0,85.0,87.0,88.0,86.0,85.0,82.0,90.0,82.0,79.0,90.0,92.0,83.0,82.0,90.0,87.0,63.0,83.0,73.0,49.0,90.0,86.0,86.0,89.0,None,54.0,49.0,14.0,8.0,14.0,13.0,14.0,CF,89.0,141500000.0,59.0,2019
2,212198,Bruno Fernandes,24,https://cdn.sofifa.com/players/212/198/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,89,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,56500000.0,165000.0,2299,Right,2.0,4.0,4.0,High/ High,Lean (170-185),No,CAM,18.0,2020-01-30,None,2025.0,177.8,152,87.0,77.0,58.0,86.0,86.0,85.0,86.0,87.0,87.0,87.0,79.0,77.0,80.0,84.0,79.0,89.0,72.0,94.0,67.0,89.0,70.0,74.0,83.0,88.0,90.0,86.0,None,68.0,55.0,12.0,14.0,15.0,8.0,14.0,CAM,87.0,111600000.0,72.0,2020
3,192985,K. De Bruyne,28,https://cdn.sofifa.com/players/192/985/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,90000000.0,370000.0,2289,Right,4.0,5.0,4.0,High/ High,Normal (170-185),Yes,RCM,17.0,2015-08-30,None,2023.0,180.34,154,94.0,82.0,55.0,92.0,82.0,87.0,85.0,83.0,91.0,91.0,77.0,76.0,78.0,91.0,76.0,91.0,63.0,89.0,74.0,90.0,76.0,63.0,88.0,94.0,82.0,91.0,None,62.0,53.0,15.0,13.0,5.0,10.0,13.0,CAM,91.0,166500000.0,68.0,2015
4,224334,M. Acuña,27,https://cdn.sofifa.com/players/224/334/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,82,Sporting CP,https://cdn.sofifa.com/teams/237/light_30.png,20000000.0,19000.0,2285,Left,2.0,3.0,4.0,High/ High,Stocky (170-185),No,LCM,8.0,2020-05-05,None,2028.0,172.72,152,87.0,66.0,57.0,81.0,68.0,87.0,88.0,78.0,78.0,87.0,78.0,75.0,83.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,78.0,81.0,82.0,76.0,87.0,None,82.0,79.0,8.0,14.0,13.0,13.0,14.0,LB,82.0,40000000.0,79.0,2020
5,212462,Alex Telles,26,https://cdn.sofifa.com/players/212/462/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,85,FC Porto,https://cdn.sofifa.com/teams/236/light_30.png,31500000.0,23000.0,2283,Left,3.0,2.0,3.0,High/ High,Lean (170-185),Yes,LB,13.0,2016-07-13,None,2021.0,180.34,157,90.0,65.0,67.0,84.0,67.0,82.0,87.0,79.0,87.0,83.0,84.0,85.0,73.0,83.0,70.0,87.0,80.0,91.0,68.0,83.0,78.0,80.0,75.0,76.0,81.0,78.0,None,81.0,79.0,13.0,8.0,12.0,11.0,14.0,LWB,85.0,65400000.00000001,80.0,2016
6,187961,Paulinho,30,https://cdn.sofifa.com/players/187/961/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,85,85,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.com/teams/111839/light_30.png,35500000.0,47000.0,2278,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,LDM,8.0,2019-01-15,None,2023.0,182.88,176,67.0,85.0,85.0,83.0,75.0,83.0,66.0,75.0,77.0,84.0,74.0,71.0,70.0,82.0,81.0,83.0,92.0,92.0,82.0,80.0,81.0,80.0,84.0,84.0,71.0,81.0,None,79.0,75.0,16.0,16.0,11.0,6.0,8.0,CM,85.0,56800000.0,80.0,2019
7,178518,R. Nainggolan,31,https://cdn.sofifa.com/players/178/518/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,84,84,Cagliari,https://cdn.sofifa.com/teams/1842/light_30.png,27500000.0,57000.0,2271,Right,3.0,3.0,3.0,High/ High,Stocky (170-185),Yes,RF,4.0,2020-05-05,Inter,2020.0,175.26,143,73.0,75.0,59.0,85.0,75.0,83.0,73.0,68.0,82.0,84.0,72.0,72.0,75.0,85.0,83.0,84.0,75.0,89.0,76.0,88.0,88.0,86.0,84.0,80.0,63.0,84.0,None,86.0,90.0,11.0,11.0,14.0,8.0,11.0,CDM,85.0,1400000.0,83.0,2020
8,197445,D. Alaba,27,https://cdn.sofifa.com/players/197/445/20_60.png,Austria,https://cdn.sofifa.com/flags/at.png,83,84,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,26000000.0,110000.0,2266,Left,4.0,4.0,3.0,Medium/ Medium,Lean (170-185),Yes,LCB,27.0,2010-02-10,None,2021.0,180.34,172,82.0,63.0,76.0,82.0,68.0,79.0,78.0,85.0,79.0,82.0,79.0,85.0,78.0,84.0,78.0,85.0,83.0,85.0,75.0,80.0,69.0,82.0,76.0,77.0,79.0,80.0,None,82.0,82.0,5.0,7.0,14.0,15.0,9.0,CB,83.0,44900000.0,83.0,2010
9,181872,A. Vidal,32,https://cdn.sofifa.com/players/181/872/20_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,84,84,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,23500000.0,200000.0,2264,Right,4.0,4.0,3.0,High/ High,Normal (170-185),Yes,SUB,22.0,2018-08-06,None,2021.0,180.34,165,76.0,75.0,82.0,82.0,78.0,76.0,76.0,68.0,81.0,82.0,68.0,67.0,73.0,86.0,77.0,84.0,85.0,86.0,83.0,82.0,93.0,85.0,83.0,82.0,81.0,83.0,None,87.0,88.0,4.0,2.0,4.0,2.0,4.0,CB,85.0,48200000.0,82.0,2018
